,Case Number,Date,Year,Type,Country,Area,Location,Activity,Name,Sex ,Age,Injury,Fatal,Time,Species ,Investigator or Source,pdf,href formula,href,Case Number.1,Case Number.2,original order,Unnamed: 22,Unnamed: 23
341,2015.10.21,21-Oct-2015,2015,Unprovoked,usa,Florida,"Playalinda Beach, Brevard County",surfing,Michael Salinger,M,21.0,lacerations to left hand,False,Unknown,Unknown,"ClickOrlando.com, 10/21/2015",2015.10.21-Playalinda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.21-Playalinda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.21-Playalinda.pdf,2015.10.21,2015.10.21,5962.0,unknown,unknown
342,2015.10.19,19-Oct-2015,2015,Unprovoked,usa,Florida,"Deerfield Beach, Broward County",surfing,Peter Kirn,M,21.0,left foot bitten,False,Unknown,Unknown,"NBC6.com, 10/19/2015",2015.10.19-Kirn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.19-Kirn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.19-Kirn.pdf,2015.10.19,2015.10.19,5961.0,unknown,unknown
343,2015.10.17.c,17-Oct-2015,2015,Unprovoked,mozambique,Inhambane Province,"Nahaduga, Inhambane Bay",fishing for shrimp,Albertina Cavel,F,35.0,fatal,True,Unknown,Unknown,Xinhua News Agency,2015.10.17.c-Cavel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.c-Cavel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.c-Cavel.pdf,2015.10.17.c,2015.10.17.c,5960.0,unknown,unknown
344,2015.10.17.b,17-Oct-2015,2015,Invalid,usa,Hawaii,"Waikiki, ",surfing,male,M,32.0,left foot bitten by eel,False,Unknown,No shark involvement,"KHON2, 10/17/2015",2015.10.17.b.-Hawaii. pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.b.-Hawaii. pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.b.-Hawaii. pdf,2015.10.17.b,2015.10.17.b,5959.0,unknown,unknown
345,2015.10.17.a,17-Oct-2015,2015,Unprovoked,usa,Hawaii,"Lanikai Beach, Kailua, Oahu",swimming,Tony Lee,M,44.0,severe injuries to lower legs. foot later surgically amputated.,False,Unknown,Unknown,"KHON2, 10/17/2015",2015.10.17.a-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.a-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.a-Lee.pdf,2015.10.17.a,2015.10.17.a,5958.0,unknown,unknown
346,2015.10.13,13-Oct-2015,2015,Boat,usa,California,"Off Leffingwell Landing, San Luis Obispo County",kayak fishing,Jordan Pavacich,M,25.0,"no injury, shark rammed kayak repeatedly",False,Unknown,Hammerhead sp.,"The Tribune, 10/28/2015",2015.10.13-Pavacich-kayak.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.13-Pavacich-kayak.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.13-Pavacich-kayak.pdf,2015.10.13,2015.10.13,5957.0,unknown,unknown
347,2015.10.09.b,09-Oct-2015,2015,Unprovoked,usa,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",boogie boarding,Meti Kershner,F,25.0,laceration to forearm,False,Unknown,Unknown,"C. Creswell, GSAF",2015.10.09.b-Kershner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.b-Kershner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.b-Kershner.pdf,2015.10.09.b,2015.10.09.b,5956.0,unknown,unknown
348,2015.10.09.a,09-Oct-2015,2015,Unprovoked,usa,Hawaii,"Leftovers, Oahu",surfing,Colin Cook,M,25.0,"left leg severed below the knee, defense injuries to left hand",False,Unknown,Unknown,"Hawaii News Now, 10/9/2015",2015.10.09.a-Cook.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.a-Cook.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.a-Cook.pdf,2015.10.09.a,2015.10.09.a,5955.0,unknown,unknown
349,2015.10.08,08-Oct-2015,2015,Unprovoked,mozambique,Inhambane Province,"Maxixe, Inhambane Bay",fishing,Alberto Rafael,M,25.0,"arm severely injured, surgically amputated",False,Unknown,Unknown,Club of Mozambique,2015.10.08-Rafael.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.08-Rafael.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.08-Rafael.pdf,2015.10.08,2015.10.08,5954.0,unknown,unknown
350,2015.10.07,07-Oct-2015,2015,Unprovoked,australia,Western Australia,Pyramids Beach,surfing,Eli Zawadzki,M,18.0,foot injured,False,Unknown,Unknown,"Daily Mail, 10/7/2015",2015.10.07-Zawadzki.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.07-Zawadzki.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.07-Zawadzki.pdf,2015.10.07,2015.10.07,5953.0,unknown,unknown
351,2015.10.05.b,05-Oct-2015,2015,Unprovoked,usa,Florida,"Pepper Park Beach, St. Lucie County",body boarding,male,M,22.0,2 lacerations to ankle,False,Unknown,Unknown,"WPBF.com, 10/6/2015",2015.10.05.b-FtPierce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.b-FtPierce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.b-FtPierce.pdf,2015.10.05.b,2015.10.05.b,5952.0,unknown,unknown
352,2015.10.05.a,05-Oct-2015,2015,Unprovoked,usa,Texas,Galveston,wading,Gregory Slaughter,M,13.0,foot & hands bitten,False,Unknown,Unknown,"Houston Chronicle, 10/5/2015",2015.10.05.a-Slaughter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.a-Slaughter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05-Slaughter.pdf,2015.10.05.a,2015.10.05.a,5951.0,unknown,unknown
353,2015.10.04,04-Oct-2015,2015,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",surfing,Phillip Tarasovic,M,14.0,severe lacerations to left hand,False,Unknown,Unknown,"CNN, 10/4/2015",2015.10.04-Tarasovic.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.04-Tarasovic.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.04-Tarasovic.pdf,2015.10.04,2015.10.04,5950.0,unknown,unknown
354,2015.09.29,29-Sep-2015,2015,Unprovoked,usa,Florida,"Vilano Beach, St.  Johns County",surfing,"David Morrison, Jr.",M,22.0,"laceration to heel, puncture wounds to dorsum of foot",False,Unknown,Unknown,"First Coast News, 9/30/2015",2015.09.29-Morrison.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.29-Morrison.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.29-Morrison.pdf,2015.09.29,2015.09.29,5949.0,unknown,unknown
355,2015.09.26,26-Sep-2015,2015,Unprovoked,australia,Queensland,"Russel Island, Frankland Group",snorkeling,female,F,25.0,laceration to leg,False,Unknown,Unknown,"The Cairns Post, 9/28/2015",2015.09.26-QLD.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.26-QLD.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.26-QLD.pdf,2015.09.26,2015.09.26,5948.0,unknown,unknown
356,2015.09.24,24-Sep-2015,2015,Boat,usa,California,"Horseshoe Rock, Santa Barbara County",kayak fishing,Darren Kenney,M,25.0,"no injury, kayak damaged",False,Unknown,Unknown,R. Collier,2015.09.24-Kenney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.24-Kenney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.24-Kenney.pdf,2015.09.24,2015.09.24,5947.0,unknown,unknown
357,2015.09.20.d,20-Sep-2015,2015,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",surfing,male,M,14.0,minor injury to left ankle,False,Unknown,juvenile shark,"Orlando Sentinel, 9/20/2015",2015.09.20.d-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.d-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.d-NSB.pdf,2015.09.20.d,2015.09.20.d,5946.0,unknown,unknown
358,2015.09.20.c,20-Sep-2015,2015,Unprovoked,usa,Hawaii,"Upolu Point, North Kohala, Big Island",spearfishing, Braxton Rocha,M,27.0,severe laceration to left leg,False,Unknown,Unknown,"Big Island Video, 9/20/2015",2015.09.20.c-Braxton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.c-Braxton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.c-Braxton.pdf,2015.09.20.c,2015.09.20.c,5945.0,unknown,unknown
359,2015.09.20.b,20-Sep-2015,2015,Unprovoked,usa,Florida,"Fernandina Beach, Amelia Island, Nassau County",wading,"Joshua Bitner, Jr.",M,12.0,significant injuries to leg,False,Unknown,Unknown,"News4Jax, 9/21/2015",2015.09.20.b-Bitner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.b-Bitner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.b-Bitner.pdf,2015.09.20.b,2015.09.20.b,5944.0,unknown,unknown
360,2015.09.20.a,20-Sep-2015,2015,Unprovoked,usa,Florida,"Vilano Beach, St.  Johns County",photographing fish,Filippo Schiavo ,M,16.0,injury to right hand / wrist,False,Unknown,Unknown,"News4JAX, 9/21/2015",2015.09.20.a-Schiavo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.a-Schiavo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.a-Schiavo.pdf,2015.09.20.a,2015.09.20.a,5943.0,unknown,unknown
361,2015.09.19,19-Sep-2015,2015,Boat,usa,California,"Gaviota State Beach, Santa Barbara County",kayak fishing,Mark McCracken,M,25.0,no injury,False,Unknown,Hammerhead shark,"NBC News, 9/22/2015",2015.09.19-McCracken.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.19-McCracken.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.19-McCracken.pdf,2015.09.19,2015.09.19,5942.0,unknown,unknown
362,2015.09.18,18-Sep-2015,2015,Unprovoked,usa,Florida,"Big Talbot Island, Duval County",swimming,Peter Vergenz ,M,25.0,lacerations to calf,False,Unknown,Unknown,"Action News Jax, 9/23/2015",2015.09.18-Vergenz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.18-Vergenz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.18-Vergenz.pdf,2015.09.18,2015.09.18,5941.0,unknown,unknown
363,2015.09.17,17-Sep-2015,2015,Unprovoked,usa,Florida,"Jacksonville Beach, Duval County",surfing,Bryan Liebetrau,M,20.0,injury to right foot,False,Unknown,Unknown,"News4JAX, 9/15/2015",2015.09.17-Liebetrau.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.17-Liebetrau.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.17-Liebetrau.pdf,2015.09.17,2015.09.17,5940.0,unknown,unknown
364,2015.09.08,08-Sep-2015,2015,Unprovoked,australia,New South Wales,North Shelly Beach,surfing,Justin Daniels,M,42.0,minor laceration to hand,False,Unknown,Unknown,"ABC News, 9/8/2015",2015.09.08-Daniels.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.08-Daniels.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.08-Daniels.pdf,2015.09.08,2015.09.08,5939.0,unknown,unknown
365,2015.09.06,06-Sep-2015,2015,Unprovoked,usa,California,"El Pescador Beach, Los Angeles County",stand-up paddleboarding,Caterina Gennaro,F,50.0,"no injury, shark struck board, tossing her into the sea",False,Unknown,Unknown,"R. Collier, GSAF",2015.09.06-Gennaro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.06-Gennaro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.06-Gennaro.pdf,2015.09.06,2015.09.06,5938.0,unknown,unknown
366,2015.09.05,05-Sep-2015,2015,Provoked,usa,California,"Deer Creek Beach, Ventura County",kayak fishing,Dylan Marks,M,29.0,laceration to dorsum of foot by hooked shark  provoked incident,False,Unknown,Hammerhead shark.,"R. Collier, GSAF",2015.09.05-Marks.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.05-Marks.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.05-Marks.pdf,2015.09.05,2015.09.05,5937.0,unknown,unknown
367,2015.09.04,04-Sep-2015,2015,Unprovoked,australia,New South Wales,Hallidays Point,surf-skiing,David Quinliven,M,62.0,inuries to lower left leg & ankle,False,Unknown,Unknown,"The Sydney Morning Herald, 9/4/2015",2015.09.04-Quinliven.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.04-Quinliven.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.04-Quinliven.pdf,2015.09.04,2015.09.04,5936.0,unknown,unknown
368,2015.09.03,03-Sep-2015,2015,Unprovoked,usa,South Carolina,"Myrtle Beach, Horry County",nan,Chip Wagner,M,25.0,right foot bitten,False,Unknown,Unknown,"C. Creswell, GSAF",2015.09.03-Wagner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.03-Wagner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.03-Wagner.pdf,2015.09.03,2015.09.03,5935.0,unknown,unknown
369,2015.09.01,01-Sep-2015,2015,Unprovoked,thailand,Phuket,Karon Beach,wading,Jane Neame,F,37.0,left foot & ankle bitten,False,Unknown,small shark,"Phuket Gazette, 9/1/2015",2015.09.01-Neame.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.01-Neame.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.01-Neame.pdf,2015.09.01,2015.09.01,5934.0,unknown,unknown
370,2015.09.00,Sep-2015,2015,Unprovoked,fiji,fiji,Unknown,spearfishing,Viliame Lautiki,M,25.0,leg bitten,False,Unknown,Tiger shark,"Fiji Times, 2/8/2016",2015.09.00-Lautiki.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.00-Lautiki.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.00-Lautiki.pdf,2015.09.00,2015.09.00,5933.0,unknown,unknown
371,2015.08.29.b,29-Aug-2015,2015,Unprovoked,usa,California,"Morro Strand State Beach, San Luis Obispo County",surfing,Elinor Dempsey,F,54.0,"no injury, surfboard bitten",False,Unknown,Unknown,"R. Collier, GSAF",2015.08.29.b-Dempsey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.b-Dempsey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.b-Dempsey.pdf,2015.08.29.b,2015.08.29.b,5932.0,unknown,unknown
372,2015.08.29.a,29-Aug-2015,2015,Unprovoked,usa,California,"Morro Bay, San Luis Obispo County",surfing,Daniel Phillips,M,21.0,"no injury, shark struk sufer's leg and his board",False,Unknown,Unknown,"R. Collier, GSAF",2015.08.29.a-Phillips.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.a-Phillips.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.29.a-Phillips.pdf,2015.08.29.a,2015.08.29.a,5931.0,unknown,unknown
373,2015.08.22.b,22-Aug-2015,2015,Invalid,usa,Florida,"Cocoa Beach, Brevard  County",nan,young boy,M,25.0,wound to right lower leg,False,Unknown,Shark involvement not confirmed,"Brevard Times, 8/22/2015",2015.08.22.b-CocoaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.b-CocoaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.b-CocoaBeach.pdf,2015.08.22.b,2015.08.22.b,5930.0,unknown,unknown
374,2015.08.22.a,22-Aug-2015,2015,Unprovoked,australia,New South Wales,Lighthouse Beach,surfing,Dale Carr,M,38.0,severe laceration to left buttock & thigh,False,Unknown,Unknown,"Daily Telegraph, 8/22/2015",2015.08.22.a-Carr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.a-Carr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.22.a-Carr.pdf,2015.08.22.a,2015.08.22.a,5929.0,unknown,unknown
375,2015.08.20,20-Aug-2015,2015,Unprovoked,usa,South Carolina,"Murrells Inlet, Georgetown County",surfing,Dylan Peyton,M,15.0,"injuries to left calf, arm and hand",False,Unknown,Unknown,"C. Creswell, GSAF",2015.08.20-Peyton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.20-Peyton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.20-Peyton.pdf,2015.08.20,2015.08.20,5928.0,unknown,unknown
376,2015.08.19,19-Aug-2015,2015,Unprovoked,usa,Florida,"Jacksonville Beach, Duval County",walking,Kaley Szarmack,F,10.0,lacerations to right leg,False,Unknown,Unknown,"ABC News, 8/21/2015",2015.08.19-Szsarmack,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.19-Szsarmack,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.19-Szsarmack,2015.08.19,2015.08.19,5927.0,unknown,unknown
377,2015.08.18.b,18-Aug-2015,2015,Boat,usa,California,Santa Barbara County,kayak fishing,Connor Lyon,M,22.0,"no injury, kayak bitten",False,Unknown,Unknown,"R. Collier, GSAF",2015.08.18.b-Lyon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.b-Lyon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.b-Lyon.pdf,2015.08.18.b,2015.08.18.b,5926.0,unknown,unknown
378,2015.08.18.a,18-Aug-2015,2015,Invalid,spain,Alicante,"Poniente Beach, Benidorm",swimming,male,M,10.0,minor injury when he attempted to touch a fish. ,False,Unknown,Shark involvement not confirmed,"The Local, 8/18/2015",2015.08.18.a-Benidorm.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.a-Benidorm.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.18.a-Benidorm.pdf,2015.08.18.a,2015.08.18.a,5925.0,unknown,unknown
379,2015.08.10,10-Aug-2015,2015,Provoked,usa,California,Cortes Bank,spearfishing,Richard Shafer,M,57.0,right hand bitten  provoked incident,False,Unknown,Unknown,"NBC San Diego, 8/13/2015",2015.08.10-Shafer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.10-Shafer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.08.10-Shafer.pdf,2015.08.10,2015.08.10,5924.0,unknown,unknown
380,2015.07.31,31-Jul-2015,2015,Unprovoked,australia,New South Wales,Evans Head,surfing,Craig Ison,M,52.0,"lacerations and puncture wounds to hip, thigh, arm and hand",False,Unknown,White shark,"Daily Telegraph, 7/31/2015",2015.07.31-Ison.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.31-Ison.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.31-Ison.pdf,2015.07.31,2015.07.31,5923.0,unknown,unknown
381,2015.07.28,28-Jul-2015,2015,Unprovoked,costa rica,Guanacaste,Playa Grande,surfing,Thomas McCall,M,47.0,minor inuries to toes,False,Unknown,Unknown,YouTube,2015.07.28-McCall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.28-McCall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.28-McCall.pdf,2015.07.28,2015.07.28,5922.0,unknown,unknown
382,2015.07.27,27-Jul-2015,2015,Questionable,australia,Victoria,Tyrendarra Beach,surfing,male,M,40.0,injury to hand,False,Unknown,Unknown,,2015.07.27-Victoria.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.27-Victoria.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.27-Victoria.pdf,2015.07.27,2015.07.27,5921.0,unknown,unknown
383,2015.07.26.b,26-Jul-2015,2015,Unprovoked,usa,Florida,"Daytona Beach, Volusia County",surfing,Shawn Warrilow,M,25.0,minor injury to sole of foot,False,Unknown,Unknown,CBS 7/27/2015,2015.07.26.b-Warrilow.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.b-Warrilow.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.b-Warrilow.pdf,2015.07.26.b,2015.07.26.b,5920.0,unknown,unknown
384,2015.07.26.a,26-Jul-2015,2015,Invalid,usa,South Carolina,"Edisto Beach, Colleton County",floating,female,F,35.0,"2' cut to dorsum of foot, 2 puncture wounds to sole",False,Unknown,Unknown,"C. Creswell, GSAF, ABC 11, 7/27/2015",2015.07.26.a-Edisto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.a-Edisto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.26.a-Edisto.pdf,2015.07.26.a,2015.07.26.a,5919.0,unknown,unknown
385,2015.07.25,25-Jul-2015,2015,Unprovoked,australia,Tasmania,"Lachan Island, Mercury Passage",scallop diving on hookah,Damien Johnson,M,46.0,fatal,True,Unknown,Unknown,"C. Black, GSAF",2015.07.25-Johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.25-Johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.25-Johnson.pdf,2015.07.25,2015.07.25,5918.0,unknown,unknown
386,2015.07.23.b,23-Jul-2015,2015,Provoked,usa,California,"La Jolla, San Diego County",kayak fishing,Austin Lorber,M,31.0,no injury to occupant. kayak bitten by gaffed shark. provoked incident,False,Unknown,Unknown,"NBC San Diego, 7/27/2015",2015.07.23.b-Lorber.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.b-Lorber.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.b-Lorber.pdf,2015.07.23.b,2015.07.23.b,5917.0,unknown,unknown
387,2015.07.23.a,23-Jul-2015,2015,Unprovoked,australia,Victoria,Tyrendarra Beach near Portland,surfing,male,M,40.0,left hand bitten,False,Unknown,Unknown,"ABC News, 7/27/2015",2015.07.23.a-Victoria.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.a-Victoria.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.23.a-Victoria.pdf,2015.07.23.a,2015.07.23.a,5916.0,unknown,unknown
388,2015.07.22,22-Jul-2015,2015,Unprovoked,reunion,reunion,St. Leu,surfing,Rodolphe Arriéguy,M,45.0,arm bitten,False,Unknown,Unknown,Zig Zag Surfing Magazine,2015.07.22-Arrieguy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.22-Arrieguy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.22-Arrieguy.pdf,2015.07.22,2015.07.22,5915.0,unknown,unknown
389,2015.07.19,19-Jul-2015,2015,Unprovoked,south africa,Eastern Cape Province,Jeffrey's Bay,surfing,Mick Fanning,M,34.0,no injury,False,Unknown,White shark,"BBC, 7/20/2015",2015.07.19-Fanning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.19-Fanning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.19-Fanning.pdf,2015.07.19,2015.07.19,5914.0,unknown,unknown
390,2015.07-10,10-Jul-2015,2015,Unprovoked,usa,California,"Huntington Beach, Orange County",surfing,Danny Miskin,M,38.0,"no injury, shark bumped & damaged board",False,Unknown,Unknown,"KTLA, 7/10/2015",2015.07.10-Miskin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.10-Miskin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.10-Miskin.pdf,2015.07.10,2015.07.10,5913.0,unknown,unknown
391,2015.07.08,08-Jul-2015,2015,Invalid,usa,California,"Huntington Beach, Orange County",treading water,Eugene Finney,M,39.0,laceration to back,False,Unknown,Shark involvement not cofirmed,"Sentinel & Enterprise.com, 10/4/2015",2015.07.08-Finney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.08-Finney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.08-Finney.pdf,2015.07.08,2015.07.08,5912.0,unknown,unknown
392,2015.07.06,06-Jul-2015,2015,Invalid,french polynesia,Bora Bora,Unknown,swimming,Joe Termini,M,25.0,parallel lacerations to torso inconsistent with shark bite,False,Unknown,No shark involvement,"Hollywood Life, 7/6/2015",2015.07.06-Termini.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.06-Termini.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.06-Termini.pdf,2015.07.06,2015.07.06,5911.0,unknown,unknown
393,2015.07.04.b,04-Jul-2015,2015,Unprovoked,bahamas,Grand Bahama Island,"Port Lucaya, Freeport",spearfishing,Katie Hester,F,23.0,lacerations to lower leg & ankle,False,Unknown,Unknown,"ABC action News, 7/7/2015",2015.07.04.b-Hester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.b-Hester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.b-Hester.pdf,2015.07.04.b,2015.07.04.b,5910.0,unknown,unknown
394,2015.07.04.a,04-Jul-2015,2015,Unprovoked,usa,North Carolina,"Off Surf City, Pender County",nan,a marine,M,32.0,lacerations to right hand & forearm,False,Unknown,Unknown,"C. Creswell, GSAF",2015.07.04.a-Marine.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.a-Marine.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.04.a-Marine.pdf,2015.07.04.a,2015.07.04.a,5909.0,unknown,unknown
395,2015.07.03,03-Jul-2015,2015,Unprovoked,australia,New South Wales,Lennox Head,surfing,Michael Hoile,M,52.0,"no injury, shark bit surfboard",False,Unknown,White shark,"Northern Star, 7/3/2015",2015.07.03-Hoile.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.03-Hoile.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.03-Hoile.pdf,2015.07.03,2015.07.03,5908.0,unknown,unknown
396,2015.07.02,02-Jul-2015,2015,Unprovoked,australia,New South Wales,East Ballina,body boarding ,Matt Lee,M,32.0,significant injuries to lower legs,False,Unknown,White shark,"Northern Star, 7/2/2015",2015.07.02-Matt-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.02-Matt-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.02-Matt-Lee.pdf,2015.07.02,2015.07.02,5907.0,unknown,unknown
397,2015.07.01,01-Jul-2015,2015,Unprovoked,usa,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",swimming,Andrew Costello,M,68.0,"injuries to torso, hip, lower leg & hands",False,Unknown,Unknown,"C. Creswell, GSAF",2015.07.01-Costello.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.01-Costello.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.07.01-Costello.pdf,2015.07.01,2015.07.01,5906.0,unknown,unknown
